Unnamed: 0,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence,enhanced_emotion_codes,enhanced_emotion_codes_str,emotion_confidence,emotion_competence,emotion_pragmatic,emotion_curiosity,emotion_excitement,emotion_pride_empowerment,emotion_shame_guilt,emotion_anxiety,emotion_discomfort,emotion_fear,emotion_neutral,emotion_other_emotional_state,emotional_energy_codes_str
107,Yes,IT / Tech,CM Trainer ,1–3 years,"Google Gemini (Formerly Bard), Company private AI",Yes,"Google Gemini (formerly Bard), Company private AI",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Training outlines, Training materials ",it is recommended,5.0,5.0,,5.0,5.0,5.0,3.0,36-45,Male,Bachelor’s degree,Poland,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
108,Yes,Healthcare,Stellvertretende Pflegedienst Leitung ,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ich habe dass benutzt in meine facharbeit 
Ich habe benutzt in meine neue Projekt 
يساعدني في حياتي اليوميه العمليه وًالعلميه و المهنيه",احس بفخر لما استمعله,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Bachelor’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,1,0,0,0,0,0,0,Pride & Empowerment
109,Yes,Government / Public sector,Mechanical Engineer ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,"Research, document preparations, benchmarking ",i feel not interested in showing that i used gen ai,3.0,1.0,2.0,3.0,3.0,1.0,5.0,26-35,Male,Master’s degree,Qatar,['Other Emotional State'],Other Emotional State,0,0,0,1,0,0,0,0,0,0,0,0,Curiosity
110,Yes,IT / Tech,Test developer - production,8–15 years,"Google Gemini (Formerly Bard), Claude (Anthropic)",Yes,"Google Gemini (formerly Bard), Claude (Anthropic)",Daily,3.0,2.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,"- development,  clause is integrated into our repository so we can personalize it and help with coding and code reviews. 
- we have a lot of processes, and documentation that we need to go through. Gemini is very helpful when answer questions related to company documents or devices/tools user guide.",we are asked to use ai in our daily activities. management pushing toward using ai to improve efficiency.,1.0,4.0,2.0,4.0,5.0,5.0,5.0,36-45,Male,Master’s degree,Canada,"['Competence', 'Organizational Norms']",Competence; Organizational Norms,0,1,1,0,0,0,0,0,0,0,1,0,Competence; Pragmatic; Neutral
111,Yes,Consulting,BD,More than 15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,"Marketing Research, Proposal related to spesific topic and revision of Financial plans","i did modification not copy and past, rephrasing or adding from my own knowledge",1.0,1.0,2.0,3.0,1.0,1.0,3.0,46-55,Female,Master’s degree,United Arab Emirates,['Other Emotional State'],Other Emotional State,1,0,1,0,0,0,0,0,0,0,0,0,Confidence; Pragmatic
112,Yes,IT / Tech,Developer,1–3 years,Microsoft Copilot,Yes,Microsoft Copilot,Daily,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting emails, coding",yes,3.0,4.0,4.0,5.0,5.0,4.0,5.0,26-35,Female,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
113,Yes,Government / Public sector,Lab assistant,1–3 years,ChatGPT (OpenAI),No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
114,Yes,Education / Academia,Student,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,coding and idea collection,"a bit shameful, but i still know that i use it only if i cannot find an immediate answer per google and that i am able to question the ai's answers",3.0,4.0,1.0,3.0,4.0,2.0,4.0,18-25,Female,High school or equivalent,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,1,0,0,0,0,0,Shame & Guilt
115,Yes,Healthcare,Student assistant ,1–3 years,I don't know for sure,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
116,Yes,Education / Academia,SHK,Less than 1 year,,Yes,ChatGPT (OpenAI),A few times a week,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,"Translation, writing of abstracts for a study","not so good. since ai ist not necessary for my work, the thought of my supervisor finding out stresses me a bit",2.0,3.0,3.0,4.0,3.0,3.0,4.0,18-25,Female,Bachelor’s degree,Germany,['Discomfort / Unease'],Discomfort / Unease,0,0,1,0,0,0,1,0,0,0,1,0,Pragmatic; Shame & Guilt; Neutral
117,Yes,Oil and Gas,Section Head Production Operation,More than 15 years,,No,,,,,,,,,,,,,,nan,,,,,,,,,,,,[],,0,0,0,0,0,0,0,0,0,0,0,0,
118,Yes,IT / Tech,Software Architect,8–15 years,Google Gemini (Formerly Bard),Yes,"Google Gemini (formerly Bard), DeepSeek",A few times a month,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,"Validation of texts that will be presented to users, structuring emails, summarizing conversations in meetings",neutral,2.0,3.0,3.0,4.0,4.0,5.0,4.0,26-35,Male,Bachelor’s degree,Brazil,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
